"Well";"replno";"smpltp";"templvol";"QtyID";"WellType";"Replicate";"ThresholddRn";"CtdRn";"Quantitycopies";"RSqdRn";"SlopedRn";"qpcrno";"MONISprojectno";"AssayID";"speciesabbr";"plateno";"qpcrrundate";"smplNo";"smplNo02";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.n_Dinds";"MST.nummer";"MST_STEXno";"smplNoSTEX"
"D5";"12";"MST0029";"3uL";"QtyorID";"Unknown";"12";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0029";"MST0029";"20170925-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No2";"350";NA;"2017-09-25";NA;"MST0029";"MST0029::2017-09-25";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1400";"yes";"5.0";"25/09/2017";15.5;NA;"MST0029_2017-09-25";"MST0029";"MST0029STEXNA";NA
"D6";"12";"MST0029";"3uL";"QtyorID";"Unknown";"12";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0029";"MST0029";"20170925-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No2";"350";NA;"2017-09-25";NA;"MST0029";"MST0029::2017-09-25";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1400";"yes";"5.0";"25/09/2017";15.5;NA;"MST0029_2017-09-25";"MST0029";"MST0029STEXNA";NA
"E4";"13";"MST0032";"3uL";"QtyorID";"Unknown";"13";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0032";"MST0032";"20170920-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-20";NA;"MST0032";"MST0032::2017-09-20";FALSE;"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"800";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0032_2017-09-20";"MST0032";"MST0032STEXNA";NA
"E5";"13";"MST0032";"3uL";"QtyorID";"Unknown";"13";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0032";"MST0032";"20170920-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-20";NA;"MST0032";"MST0032::2017-09-20";FALSE;"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"800";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0032_2017-09-20";"MST0032";"MST0032STEXNA";NA
"E6";"13";"MST0032";"3uL";"QtyorID";"Unknown";"13";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0032";"MST0032";"20170920-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-20";NA;"MST0032";"MST0032::2017-09-20";FALSE;"Jane_Robertsen";"LIV_II";"FYN";"2017-09-20";"VEJ0006870_Nordlige_Lillebaelt";"94300001";55.674383;10.090417;19.6;1;"800";"yes";"9.5";"20/09/2017";14.3;"Tidspunktet_for_proevetagningen_vil_i_Arop_filen_vise_0753UTC_det_er_ikke_det_rigtige_tidspunkt_for_proevetagningen";"MST0032_2017-09-20";"MST0032";"MST0032STEXNA";NA
"F4";"14";"MST0041";"3uL";"QtyorID";"Unknown";"14";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0041";"MST0041";"20171019-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-10-19";NA;"MST0041";"MST0041::2017-10-19";FALSE;"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1450";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_";"MST0041_2017-10-19";"MST0041";"MST0041STEXNA";NA
"F5";"14";"MST0041";"3uL";"QtyorID";"Unknown";"14";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0041";"MST0041";"20171019-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-10-19";NA;"MST0041";"MST0041::2017-10-19";FALSE;"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1450";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_";"MST0041_2017-10-19";"MST0041";"MST0041STEXNA";NA
"F6";"14";"MST0041";"3uL";"QtyorID";"Unknown";"14";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0041";"MST0041";"20171019-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-10-19";NA;"MST0041";"MST0041::2017-10-19";FALSE;"Steen_Krogsboell_stkro";"aaboen";"Miljoestyrelsen_Storstroem";"2017-10-19";"BRKBMPK2_910_Bornholm_aabne_del";"99000049";55.25;55.250017;89;1;"1450";"yes";"30.0";"18/11/2017";11.3;"i_hvert_fald_med_med_unikt_nr_";"MST0041_2017-10-19";"MST0041";"MST0041STEXNA";NA
"G4";"15";"MST0046";"3uL";"QtyorID";"Unknown";"15";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0046";"MST0046";"20170918-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-18";NA;"MST0046";"MST0046::2017-09-18";FALSE;"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0046_2017-09-18";"MST0046";"MST0046STEXNA";NA
"G5";"15";"MST0046";"3uL";"QtyorID";"Unknown";"15";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0046";"MST0046";"20170918-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-18";NA;"MST0046";"MST0046::2017-09-18";FALSE;"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0046_2017-09-18";"MST0046";"MST0046STEXNA";NA
"G6";"15";"MST0046";"3uL";"QtyorID";"Unknown";"15";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0046";"MST0046";"20170918-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-18";NA;"MST0046";"MST0046::2017-09-18";FALSE;"Ulrich_B_Jensen";"Limgrim";"MST_Sjaelland";"2017-09-18";"KBH431";"97200002";55.8623;12.750267;50.5;1;"1500";"yes";"16.1";"18/09/2017";14.4;NA;"MST0046_2017-09-18";"MST0046";"MST0046STEXNA";NA
"H4";"16";"MST0048";"3uL";"QtyorID";"Unknown";"16";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0048";"MST0048";"20171009-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"8";"2017-10-09";NA;"MST0048";"MST0048::2017-10-09";FALSE;"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1100";"yes";"1.6";"09/10/2017";10.9;NA;"MST0048_2017-10-09";"MST0048";"MST0048STEX8";NA
"H5";"16";"MST0048";"3uL";"QtyorID";"Unknown";"16";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0048";"MST0048";"20171009-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"8";"2017-10-09";NA;"MST0048";"MST0048::2017-10-09";FALSE;"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1100";"yes";"1.6";"09/10/2017";10.9;NA;"MST0048_2017-10-09";"MST0048";"MST0048STEX8";NA
"H6";"16";"MST0048";"3uL";"QtyorID";"Unknown";"16";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0048";"MST0048";"20171009-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"8";"2017-10-09";NA;"MST0048";"MST0048::2017-10-09";FALSE;"Ole_Blohm_Poulsen_olbpo";"Belone_Belone";"MST_Fyn";"2017-10-09";"FYN6900017";"94230001";55.4678333333333;10.5169333333333;10.2;1;"1100";"yes";"1.6";"09/10/2017";10.9;NA;"MST0048_2017-10-09";"MST0048";"MST0048STEX8";NA
"A7";"17";"MST0050";"3uL";"QtyorID";"Unknown";"17";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0050";"MST0050";"20180425-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-25";NA;"MST0050";"MST0050::2018-04-25";FALSE;"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"400";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0050_2018-04-25";"MST0050";"MST0050STEXNA";NA
"A8";"17";"MST0050";"3uL";"QtyorID";"Unknown";"17";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0050";"MST0050";"20180425-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-25";NA;"MST0050";"MST0050::2018-04-25";FALSE;"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"400";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0050_2018-04-25";"MST0050";"MST0050STEXNA";NA
"A12";"25";"MST0050";"3uL";"QtyorID";"Unknown";"17";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0050";"MST0050";"20180425-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-25";NA;"MST0050";"MST0050::2018-04-25";FALSE;"ulbje";"Musling";"Midtjylland";"2018-04-25";"Nissum_bredning";"93770056";56.600833;8.414833;6.1;5;"400";"no";NA;"26/04/2018";8.3;"Opslemmet_sediment_pga_blaest";"MST0050_2018-04-25";"MST0050";"MST0050STEXNA";NA
"B7";"18";"MST0055";"3uL";"QtyorID";"Unknown";"18";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0055";"MST0055";"20180424-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";NA;"2018-04-24";NA;"MST0055";"MST0055::2018-04-24";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1200";"no";"not_avail";"08/05/2018";8.9;NA;"MST0055_2018-04-24";"MST0055";"MST0055STEXNA";NA
"B8";"18";"MST0055";"3uL";"QtyorID";"Unknown";"18";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0055";"MST0055";"20180424-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";NA;"2018-04-24";NA;"MST0055";"MST0055::2018-04-24";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1200";"no";"not_avail";"08/05/2018";8.9;NA;"MST0055_2018-04-24";"MST0055";"MST0055STEXNA";NA
"B12";"26";"MST0055";"3uL";"QtyorID";"Unknown";"18";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0055";"MST0055";"20180424-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";NA;"2018-04-24";NA;"MST0055";"MST0055::2018-04-24";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2018-04-24";"DSoe";"96510125";55.027358;10.377598;16.2;15.4;"1200";"no";"not_avail";"08/05/2018";8.9;NA;"MST0055_2018-04-24";"MST0055";"MST0055STEXNA";NA
"C7";"19";"MST0064";"3uL";"QtyorID";"Unknown";"19";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0064";"MST0064";"20180416-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-16";NA;"MST0064";"MST0064::2018-04-16";FALSE;"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0064_2018-04-16";"MST0064";"MST0064STEXNA";NA
"C8";"19";"MST0064";"3uL";"QtyorID";"Unknown";"19";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0064";"MST0064";"20180416-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-16";NA;"MST0064";"MST0064::2018-04-16";FALSE;"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0064_2018-04-16";"MST0064";"MST0064STEXNA";NA
"C12";"27";"MST0064";"3uL";"QtyorID";"Unknown";"19";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0064";"MST0064";"20180416-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2018-04-16";NA;"MST0064";"MST0064::2018-04-16";FALSE;"ulbje";"Musling";"oestjylland";"2018-04-16";"Hevring_Bugt";"93500119";56.625617;10.590433;13.5;12.5;"1100";"yes";"10.0";"17/04/2018";4.3;NA;"MST0064_2018-04-16";"MST0064";"MST0064STEXNA";NA
"D7";"20";"MST0067";"3uL";"QtyorID";"Unknown";"20";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0067";"MST0067";"20180321-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"12";"2018-03-21";NA;"MST0067";"MST0067::2018-03-21";FALSE;"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1000";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0067_2018-03-21";"MST0067";"MST0067STEX12";NA
"D8";"20";"MST0067";"3uL";"QtyorID";"Unknown";"20";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0067";"MST0067";"20180321-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"12";"2018-03-21";NA;"MST0067";"MST0067::2018-03-21";FALSE;"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1000";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0067_2018-03-21";"MST0067";"MST0067STEX12";NA
"D12";"28";"MST0067";"3uL";"QtyorID";"Unknown";"20";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0067";"MST0067";"20180321-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"12";"2018-03-21";NA;"MST0067";"MST0067::2018-03-21";FALSE;"JAROB_20629477";"LIV_II";"Sydjylland";"2018-03-21";"Flensborg_Fjord";"95700008";54.842127;9.819387;29.6;28.6;"1000";"no";"not_avail";"22/03/2018";1;"Afleveret_til_Eurofins_d_223_2018";"MST0067_2018-03-21";"MST0067";"MST0067STEX12";NA
"A9";"17";"MST0071";"3uL";"QtyorID";"Unknown";"25";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0071";"MST0071";"20180611-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-11";NA;"MST0071";"MST0071::2018-06-11";FALSE;"jocth";"Musling";"Nordjylland";"2018-06-11";"aalborg_bugt";"93000005";56.856667;10.791667;14.2;1;"1800";"unkn";"unkn";"14/06/2018";NA;NA;"MST0071_2018-06-11";"MST0071";"MST0071STEXNA";NA
"A10";"25";"MST0071";"3uL";"QtyorID";"Unknown";"25";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0071";"MST0071";"20180611-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-06-11";NA;"MST0071";"MST0071::2018-06-11";FALSE;"jocth";"Musling";"Nordjylland";"2018-06-11";"aalborg_bugt";"93000005";56.856667;10.791667;14.2;1;"1800";"unkn";"unkn";"14/06/2018";NA;NA;"MST0071_2018-06-11";"MST0071";"MST0071STEXNA";NA
