"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","speciesabbr","plateno","qpcrrundate","Cq","gen_specnm","Genus","species","dk_comnm","smpltp2","MST.y.m","ssn","Wellname.ssn.no1","gen_specnm.ssn","locnm","colldate","volfilt_mL","declat","declon","Welltype","Harbour","Harbour.Welltype","col.06","qpcr.rplno","welltp","qpcrno.plateno","spec.lat","mx.Cq.lod","intc5","lod.val","loq.val","rEffic","ampF","intc2","slo3","RSqdRn.1","templvol","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"11","D2",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,35.57,300,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","35.57","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E2",NA,NA,"D2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.4","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"12","D3",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,35.69,300,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","35.69","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E2",NA,NA,"D3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.4","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"13","E1",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,39.71,30,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","39.71","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E1",NA,NA,"E1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.5","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"14","E2",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,40.01,30,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","40.01","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E1",NA,NA,"E2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.5","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"15","E3",5,"std3E1","3uL","QtyorID","Standard",5,0.0618,38.36,30,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","38.36","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E1",NA,NA,"E3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.5","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"16","F1",6,"std3E0","3uL","QtyorID","Standard",6,0.0618,40.91,3,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","40.91","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E0",NA,NA,"F1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.6","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"17","F2",6,"std3E0","3uL","QtyorID","Standard",6,0.0618,42.38,3,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","42.38","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E0",NA,NA,"F2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.6","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"31","C4",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.0618,33.66,1034,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","33.66","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021028","MST.2021028.2021.Sep","fall","C4.fall.1","Karenia_mikimotoi.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.11","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",114.888888888889,114888.888888889,114889.888888889,5.0602818094282
"32","C5",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.0618,33.87,899,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","33.87","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021028","MST.2021028.2021.Sep","fall","C5.fall.1","Karenia_mikimotoi.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.11","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",99.8888888888889,99888.8888888889,99889.8888888889,4.99952153004782
"33","C6",11,"MST2021-028","3uL","QtyorID","Unknown",11,0.0618,33.85,911.9,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","33.85","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021028","MST.2021028.2021.Sep","fall","C6.fall.1","Karenia_mikimotoi.fall","HirtshalsNOR7715_92200001","2021-09-27",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.11","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",101.322222222222,101322.222222222,101323.222222222,5.00570899251882
"34","D4",12,"MST2021-031","3uL","QtyorID","Unknown",12,0.0618,36.45,159,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.45","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021031","MST.2021031.2021.Jun","spri","D4.spri.1","Karenia_mikimotoi.spri","HirtshalsNOR7715_92200001","2021-06-17",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.12","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",17.6666666666667,17666.6666666667,17667.6666666667,4.24717919689194
"35","D5",12,"MST2021-031","3uL","QtyorID","Unknown",12,0.0618,36.53,151,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.53","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021031","MST.2021031.2021.Jun","spri","D5.spri.1","Karenia_mikimotoi.spri","HirtshalsNOR7715_92200001","2021-06-17",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.12","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",16.7777777777778,16777.7777777778,16778.7777777778,4.22476032218403
"36","D6",12,"MST2021-031","3uL","QtyorID","Unknown",12,0.0618,36.69,135.7,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.69","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021031","MST.2021031.2021.Jun","spri","D6.spri.1","Karenia_mikimotoi.spri","HirtshalsNOR7715_92200001","2021-06-17",1200,57.6078333333333,9.90025555555555,"Unknown","HirtshalsNOR7715_92200001","HirtshalsNOR7715_92200001.Unknown","#DF536B","qpcr925.12","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",15.0777777777778,15077.7777777778,15078.7777777778,4.17836614087868
"40","F4",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.0618,28.53,32630,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","28.53","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021040","MST.2021040.2021.Sep","fall","F4.fall.1","Karenia_mikimotoi.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr925.14","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",3425.7217847769,3425721.7847769,3425722.7847769,6.53475221621479
"41","F5",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.0618,28.93,24870,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","28.93","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021040","MST.2021040.2021.Sep","fall","F5.fall.1","Karenia_mikimotoi.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr925.14","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",2611.02362204724,2611023.62204724,2611024.62204724,6.41681096725337
"42","F6",14,"MST2021-040","3uL","QtyorID","Unknown",14,0.0618,29.1,22240,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","29.10","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021040","MST.2021040.2021.Sep","fall","F6.fall.1","Karenia_mikimotoi.fall","Tr3Fornaes","2021-09-15",1270,56.4437333333333,10.9524027777778,"Unknown","Tr3Fornaes","Tr3Fornaes.Unknown","#61D04F","qpcr925.14","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",2334.90813648294,2334908.13648294,2334909.13648294,6.368269984563
"43","G4",15,"MST2021-081","3uL","QtyorID","Unknown",15,0.0618,36.96,113.1,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.96","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021081","MST.2021081.2021.Sep","fall","G4.fall.1","Karenia_mikimotoi.fall","Soenderhooest","2021-09-20",1300,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.15","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",11.6,11600,11601,4.06449542679273
"44","G5",15,"MST2021-081","3uL","QtyorID","Unknown",15,0.0618,36.71,133.6,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.71","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021081","MST.2021081.2021.Sep","fall","G5.fall.1","Karenia_mikimotoi.fall","Soenderhooest","2021-09-20",1300,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.15","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",13.7025641025641,13702.5641025641,13703.5641025641,4.13683353567973
"45","G6",15,"MST2021-081","3uL","QtyorID","Unknown",15,0.0618,36.5,154.1,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.50","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021081","MST.2021081.2021.Sep","fall","G6.fall.1","Karenia_mikimotoi.fall","Soenderhooest","2021-09-20",1300,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.15","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",15.8051282051282,15805.1282051282,15806.1282051282,4.19882550022461
"46","H4",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.0618,42,3.83,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","42.00","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021044","MST.2021044.2021.May","spri","H4.spri.1","Karenia_mikimotoi.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.16","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",0.425555555555556,425.555555555556,426.555555555556,2.62997560267808
"47","H5",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.0618,41.06,7.21,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","41.06","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021044","MST.2021044.2021.May","spri","H5.spri.1","Karenia_mikimotoi.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.16","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",0.801111111111111,801.111111111111,802.111111111111,2.90423453237402
"48","H6",16,"MST2021-044","3uL","QtyorID","Unknown",16,0.0618,41.96,3.93,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","41.96","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021044","MST.2021044.2021.May","spri","H6.spri.1","Karenia_mikimotoi.spri","Soenderhooest","2021-05-19",1200,55.3375166666667,8.35012777777778,"Unknown","Soenderhooest","Soenderhooest.Unknown","#2297E6","qpcr925.16","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",0.436666666666667,436.666666666667,437.666666666667,2.64114347136982
"55","C7",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.0618,33.99,830.4,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","33.99","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021071","MST.2021071.2021.Oct","fall","C7.fall.1","Karenia_mikimotoi.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr925.19","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",73.8133333333333,73813.3333333333,73814.3333333333,4.86814070170323
"56","C8",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.0618,33.53,1134,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","33.53","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021071","MST.2021071.2021.Oct","fall","C8.fall.1","Karenia_mikimotoi.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr925.19","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",100.8,100800,100801,5.00346484056514
"57","C9",19,"MST2021-071","3uL","QtyorID","Unknown",19,0.0618,34.01,818.5,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","34.01","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021071","MST.2021071.2021.Oct","fall","C9.fall.1","Karenia_mikimotoi.fall","FYN6900017","2021-10-13",1500,55.4782833333333,10.5169277777778,"Unknown","FYN6900017","FYN6900017.Unknown","#28E2E5","qpcr925.19","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",72.7555555555556,72755.5555555556,72756.5555555556,4.86187213048732
"94","H10",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.0618,36.45,158.8,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.45","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021099","MST.2021099.2021.Aug","fall","H10.fall.1","Karenia_mikimotoi.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr925.32","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",14.1155555555556,14115.5555555556,14116.5555555556,4.14972874163781
"95","H11",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.0618,36.27,179.4,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.27","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021099","MST.2021099.2021.Aug","fall","H11.fall.1","Karenia_mikimotoi.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr925.32","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",15.9466666666667,15946.6666666667,15947.6666666667,4.20269714959255
"96","H12",32,"MST2021-099","3uL","QtyorID","Unknown",32,0.0618,36.26,180.2,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","36.26","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","MST2021099","MST.2021099.2021.Aug","fall","H12.fall.1","Karenia_mikimotoi.fall","94400007_ARH170006","2021-08-24",1500,56.1544166666667,10.3166972222222,"Unknown","94400007_ARH170006","94400007_ARH170006.Unknown","#CD0BBC","qpcr925.32","Unknown","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",16.0177777777778,16017.7777777778,16018.7777777778,4.2046293766286
"97","A1",1,"std3E5","3uL","QtyorID","Standard",1,0.0503,24.56,3e+05,0.997,-3.417,"qpcr926","MONIS6","assid05","Karmik","plt02","qpcrrundate20220420","24.56","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr926.1","Standard","qpcr926.plt02","Karenia mikimotoi","38.99","38.352","30","30","96.19","1.96185618261141","43.3990642083903","-3.42","99.844","uL",NA,0,1,0
"98","A2",1,"std3E5","3uL","QtyorID","Standard",1,0.0503,24.69,3e+05,0.997,-3.417,"qpcr926","MONIS6","assid05","Karmik","plt02","qpcrrundate20220420","24.69","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr926.1","Standard","qpcr926.plt02","Karenia mikimotoi","38.99","38.352","30","30","96.19","1.96185618261141","43.3990642083903","-3.42","99.844","uL",NA,0,1,0
"99","A3",1,"std3E5","3uL","QtyorID","Standard",1,0.0503,24.51,3e+05,0.997,-3.417,"qpcr926","MONIS6","assid05","Karmik","plt02","qpcrrundate20220420","24.51","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr926.1","Standard","qpcr926.plt02","Karenia mikimotoi","38.99","38.352","30","30","96.19","1.96185618261141","43.3990642083903","-3.42","99.844","uL",NA,0,1,0
