speciesabbr,smplNm,U_Pr_Nr,GnNm,SpNm,ClNm,PhNm,speciesNm,lokalitet_vanda,lon,lat,Lok_omr01,Dato_inds,typCnt,mch,molcnt,Dato_inds.dd,Dato_inds.mm,Dato_inds.yy,ssn.smpl,mch.ssn,eDN.lv1.l10
Bonham,MST2021-011,MST2021011,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,98210012,11.0846527777778,54.73475,0401011FemerenBaeltVest,2021-08-31,mcp,ddPCR,0,31,8,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-011,MST2021011,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,98210012,11.0846527777778,54.73475,0401011FemerenBaeltVest,2021-08-31,mcp,qPCR,0,31,8,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-012,MST2021012,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95130028,9.66136111111111,55.7021833333333,VejleFjordindre_VF,2021-04-27,mcp,ddPCR,0,27,4,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-012,MST2021012,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95130028,9.66136111111111,55.7021833333333,VejleFjordindre_VF,2021-04-27,mcp,qPCR,0,27,4,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-013,MST2021013,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93220011,12.04,55.713,ROS60,2021-08-25,mcp,ddPCR,0,25,8,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-013,MST2021013,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93220011,12.04,55.713,ROS60,2021-08-25,mcp,qPCR,0,25,8,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-015,MST2021015,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91320001,8.21678611111111,56.0778333333333,RKB1,2021-09-02,mcp,ddPCR,0,2,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-015,MST2021015,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91320001,8.21678611111111,56.0778333333333,RKB1,2021-09-02,mcp,qPCR,0,2,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-019,MST2021019,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000005,10.7834722222222,56.8566666666667,NOR409_aalborgBugt,2021-05-25,mcp,ddPCR,0,25,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-019,MST2021019,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000005,10.7834722222222,56.8566666666667,NOR409_aalborgBugt,2021-05-25,mcp,qPCR,0,25,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-025,MST2021025,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99150002,15.5078333333333,55.0334833333333,FranksRev,2021-06-10,mcp,ddPCR,0,10,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-025,MST2021025,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99150002,15.5078333333333,55.0334833333333,FranksRev,2021-06-10,mcp,qPCR,0,10,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-028,MST2021028,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,92200001,9.90025555555555,57.6078333333333,HirtshalsNOR7715_92200001,2021-09-27,mcp,ddPCR,0,27,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-028,MST2021028,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,92200001,9.90025555555555,57.6078333333333,HirtshalsNOR7715_92200001,2021-09-27,mcp,qPCR,0,27,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-029,MST2021029,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,97200002,12.7336055555556,55.8616666666667,KBH431,2021-09-07,mcp,ddPCR,0,7,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-029,MST2021029,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,97200002,12.7336055555556,55.8616666666667,KBH431,2021-09-07,mcp,qPCR,0,7,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-030,MST2021030,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93740007,9.06681944444444,56.6208333333333,SkiveFjord,2021-05-26,mcp,ddPCR,0,26,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-030,MST2021030,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93740007,9.06681944444444,56.6208333333333,SkiveFjord,2021-05-26,mcp,qPCR,0,26,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-031,MST2021031,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,92200001,9.90025555555555,57.6078333333333,HirtshalsNOR7715_92200001,2021-06-17,mcp,ddPCR,0,17,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-031,MST2021031,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,92200001,9.90025555555555,57.6078333333333,HirtshalsNOR7715_92200001,2021-06-17,mcp,qPCR,0,17,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-032,MST2021032,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93920064,10.4687805555556,57.5407666666667,KragskovRevSyd,2021-06-23,mcp,ddPCR,0,23,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-032,MST2021032,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93920064,10.4687805555556,57.5407666666667,KragskovRevSyd,2021-06-23,mcp,qPCR,0,23,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-039,MST2021039,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93610032,9.96678333333333,56.6626666666667,MariagerFjord,2021-05-07,mcp,ddPCR,0,7,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-039,MST2021039,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93610032,9.96678333333333,56.6626666666667,MariagerFjord,2021-05-07,mcp,qPCR,0,7,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-040,MST2021040,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93420310,10.9524027777778,56.4437333333333,Tr3Fornaes,2021-09-15,mcp,ddPCR,0,15,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-040,MST2021040,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93420310,10.9524027777778,56.4437333333333,Tr3Fornaes,2021-09-15,mcp,qPCR,0,15,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-043,MST2021043,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000001,11.1513361111111,56.1316666666667,VSJ20925,2021-05-17,mcp,ddPCR,0,17,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-043,MST2021043,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000001,11.1513361111111,56.1316666666667,VSJ20925,2021-05-17,mcp,qPCR,0,17,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-044,MST2021044,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91500007,8.35012777777778,55.3375166666667,Soenderhooest,2021-05-19,mcp,ddPCR,0,19,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-044,MST2021044,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91500007,8.35012777777778,55.3375166666667,Soenderhooest,2021-05-19,mcp,qPCR,0,19,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-049,MST2021049,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91650035,8.56828611111111,55.0938666666667,ListerDyb,2021-05-21,mcp,ddPCR,0,21,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-049,MST2021049,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91650035,8.56828611111111,55.0938666666667,ListerDyb,2021-05-21,mcp,qPCR,0,21,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-051,MST2021051,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93730002,9.07075,56.9543333333333,93730002_VIB3708_1,2021-06-04,mcp,ddPCR,0,4,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-051,MST2021051,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93730002,9.07075,56.9543333333333,93730002_VIB3708_1,2021-06-04,mcp,qPCR,0,4,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-052,MST2021052,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94230001,10.5169333333333,55.4678333333333,FYN6900017,2021-06-14,mcp,ddPCR,0,14,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-052,MST2021052,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94230001,10.5169333333333,55.4678333333333,FYN6900017,2021-06-14,mcp,qPCR,0,14,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-055,MST2021055,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000049,15.9833333333333,55.25,99000049,2021-09-14,mcp,ddPCR,0,14,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-055,MST2021055,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000049,15.9833333333333,55.25,99000049,2021-09-14,mcp,qPCR,0,14,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-058,MST2021058,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94300001,10.0845083333333,55.6743833333333,94300001_VEJ0006870,2021-08-30,mcp,ddPCR,0,30,8,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-058,MST2021058,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94300001,10.0845083333333,55.6743833333333,94300001_VEJ0006870,2021-08-30,mcp,qPCR,0,30,8,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-062,MST2021062,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95600002,10.1654166666667,54.9975833333333,95600002_FYN6300043,2021-05-21,mcp,ddPCR,0,21,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-062,MST2021062,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95600002,10.1654166666667,54.9975833333333,95600002_FYN6300043,2021-05-21,mcp,qPCR,0,21,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-064,MST2021064,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93730002,9.05020833333333,56.954,93730002_VIB3708_1,2021-09-02,mcp,ddPCR,0.2906516194343565,2,9,2021,1st_season,ddPCR : 1st_season,0.11080903066665157
Bonham,MST2021-064,MST2021064,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93730002,9.05020833333333,56.954,93730002_VIB3708_1,2021-09-02,mcp,qPCR,0,2,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-070,MST2021070,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93610032,9.96678333333333,56.6626666666667,93610032,2021-10-26,mcp,ddPCR,0,26,10,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-070,MST2021070,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93610032,9.96678333333333,56.6626666666667,93610032,2021-10-26,mcp,qPCR,0,26,10,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-071,MST2021071,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94230001,10.5169333333333,55.4678333333333,FYN6900017,2021-10-13,mcp,ddPCR,0,13,10,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-071,MST2021071,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94230001,10.5169333333333,55.4678333333333,FYN6900017,2021-10-13,mcp,qPCR,0,13,10,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-075,MST2021075,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94300001,10.0845083333333,55.6743833333333,VEJ0006870_94300001,2021-05-11,mcp,ddPCR,0,11,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-075,MST2021075,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94300001,10.0845083333333,55.6743833333333,VEJ0006870_94300001,2021-05-11,mcp,qPCR,0,11,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-076,MST2021076,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000052,13.3,54.9996666666667,DMU444,2021-09-02,mcp,ddPCR,0,2,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-076,MST2021076,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000052,13.3,54.9996666666667,DMU444,2021-09-02,mcp,qPCR,0,2,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-079,MST2021079,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93740007,9.06681944444444,56.6208333333333,93740007_VIB3727_1,2021-09-06,mcp,ddPCR,0,6,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-079,MST2021079,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93740007,9.06681944444444,56.6208333333333,93740007_VIB3727_1,2021-09-06,mcp,qPCR,0,6,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-081,MST2021081,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91500007,8.35012777777778,55.3375166666667,Soenderhooest,2021-09-20,mcp,ddPCR,0,20,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-081,MST2021081,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91500007,8.35012777777778,55.3375166666667,Soenderhooest,2021-09-20,mcp,qPCR,0,20,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-082,MST2021082,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000005,10.7845083333333,56.8561,93000005_NOR409,2021-09-07,mcp,ddPCR,0,7,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-082,MST2021082,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000005,10.7845083333333,56.8561,93000005_NOR409,2021-09-07,mcp,qPCR,0,7,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-083,MST2021083,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95600002,10.1517305555556,54.9976833333333,FYN6300043,2021-10-22,mcp,ddPCR,0,22,10,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-083,MST2021083,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95600002,10.1517305555556,54.9976833333333,FYN6300043,2021-10-22,mcp,qPCR,0,22,10,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-085,MST2021085,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000001,11.1501055555556,56.1305,93000001,2021-09-16,mcp,ddPCR,0,16,9,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-085,MST2021085,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93000001,11.1501055555556,56.1305,93000001,2021-09-16,mcp,qPCR,0,16,9,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-088,MST2021088,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,96700057,10.8276944444444,55.4392166666667,KertemindeBugt,2021-05-20,mcp,ddPCR,0.672730207443235,20,5,2021,2nd_season,ddPCR : 2nd_season,0.22342589979849262
Bonham,MST2021-088,MST2021088,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,96700057,10.8276944444444,55.4392166666667,KertemindeBugt,2021-05-20,mcp,qPCR,0.6793666666666667,20,5,2021,2nd_season,qPCR : 2nd_season,0.22514552873166904
Bonham,MST2021-089,MST2021089,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94510035,10.6003444444444,56.2094,EbeltoftVig,2021-05-17,mcp,ddPCR,0,17,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-089,MST2021089,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94510035,10.6003444444444,56.2094,EbeltoftVig,2021-05-17,mcp,qPCR,0,17,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-099,MST2021099,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94400007,10.3166972222222,56.1544166666667,94400007_ARH170006,2021-08-24,mcp,ddPCR,0,24,8,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-099,MST2021099,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94400007,10.3166972222222,56.1544166666667,94400007_ARH170006,2021-08-24,mcp,qPCR,0,24,8,2021,1st_season,qPCR : 1st_season,0
Calsap,MST1022,MST1022,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,94400007,10.3170055555556,56.1547333333333,ARH1700006_94400007,2021-05-17,mcp,ddPCR,0,17,5,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1022,MST1022,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,94400007,10.3170055555556,56.1547333333333,ARH1700006_94400007,2021-05-17,mcp,qPCR,0,17,5,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1024,MST1024,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,93770056,8.400225,56.6008333333333,NissumBredning,2021-04-15,mcp,ddPCR,0,15,4,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1024,MST1024,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,93770056,8.400225,56.6008333333333,NissumBredning,2021-04-15,mcp,qPCR,0,15,4,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1027,MST1027,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,96510125,10.3685111111111,55.0262,Sydfynskeoehav_BF11,2021-03-19,mcp,ddPCR,0,19,3,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1027,MST1027,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,96510125,10.3685111111111,55.0262,Sydfynskeoehav_BF11,2021-03-19,mcp,qPCR,0,19,3,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1028,MST1028,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,95700008,9.81666666666667,54.8341666666667,FFSB0011,2021-03-15,mcp,ddPCR,0,15,3,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1028,MST1028,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,95700008,9.81666666666667,54.8341666666667,FFSB0011,2021-03-15,mcp,qPCR,0,15,3,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1031,MST1031,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,93210013,11.7835111111111,55.8656666666667,Isefjordydre,2021-03-17,mcp,ddPCR,0,17,3,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1031,MST1031,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,93210013,11.7835111111111,55.8656666666667,Isefjordydre,2021-03-17,mcp,qPCR,0,17,3,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1038,MST1038,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,95220322,11.5002361111111,55.1395,BFKarrebaeksmindeBugt,2021-04-14,mcp,ddPCR,0,14,4,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1038,MST1038,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,95220322,11.5002361111111,55.1395,BFKarrebaeksmindeBugt,2021-04-14,mcp,qPCR,0,14,4,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1039,MST1039,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,91320001,8.21670555555556,56.0778333333333,RKB1,2021-04-26,mcp,ddPCR,0,26,4,2021,2nd_season,ddPCR : 2nd_season,0
Calsap,MST1039,MST1039,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,91320001,8.21670555555556,56.0778333333333,RKB1,2021-04-26,mcp,qPCR,0,26,4,2021,2nd_season,qPCR : 2nd_season,0
Calsap,MST1043,MST1043,Callinectes,sapidus,Malacostraca,Arthropoda,C. sapidus,93500119,10.3204,56.6261666666667,Hevringbugt,2021-04-06,mcp,ddPCR,0,6,4,2021,2nd_season,ddPCR : 2nd_season,0
