"","speciesabbr","smplNm.x","U_Pr_Nr.x","GnNm.x","SpNm.x","ClNm.x","PhNm.x","speciesNm.x","lokalitet_vanda.x","lon.x","lat.x","Lok_omr01.x","Dato_inds.x","typCnt","mch","molcnt","Dato_inds.dd","Dato_inds.mm","Dato_inds.yy","ssn.smpl","mch.ssn","eDN.lv1.l10","snpb","lon.m","lat.m","uspcAb","MST.n_Dinds","U_Pr_Nr.y","Navn_Inds","skib","Inst","Dato_inds.y","Lok_omr01.y","lokalitet_vanda.y","lok_pos_lat.x","lok_pos_lon.x","max_Dyb","Dyb_Str_m","Vwf_mL","vandsoejllagd","Dyb_lagd01","dato_80C","Temp_Inds","Bemaerkn","MST.nummer.x","smplNm.y","ddlod","qlod","qloq","qloq.unmf","mcp_ddPCR","mcp_qPCR","sdmn_ddPCR","sdmn_qPCR","sdmx_ddPCR","sdmx_qPCR","GnNm.y","SpNm.y","GnNmLt","speciesNm.y","smplTp","ClNm.y","PhNm.y","U_Pr_Nr","Dato_inds","lokalitet_vanda","lok_pos_lat.y","lok_pos_lon.y","Lok_omr01","lat.y","lon.y","MST.nummer.y","Unikt.prøvesæt.nummer","Noter.på.plastic.posen","Konc.målt.på.Qubit._ng.uL","Dato.for.ekstraktion","Ekstraktionsnummer","Noter2","Elueringvolumen.AE.buffer.uL","Sub_Nmb_for_extraction","Dato_for_indsml","X.Noter2","U_Pr_Nr.y.y","MSTno_di"
"11","Colper","MST2021-005","MST2021005","Colpomenia","peregrine","Phaeophyceae","Ochrophyta","C. peregrine",93220011,12.04,55.713,"ROS60_322RoskildeFjord","2021-06-01","mcp","ddPCR",0.398600921034813,1,6,2021,"2nd_season","ddPCR : 2nd_season",0.145693809904653,4,12.12,55.793,"Colper","MST2021005_2021-06-01","MST2021005","EmilGuddalLarsen","Mergus","Sjaelland","2021-06-01","ROS60_322RoskildeFjord",93220011,"55.713","12.04","48","1","1600","nej",NA,"2021-06-10","17.1",NA,"MST2021005","MST2021-005",1.05264455080033,30,0,3,0.398600921034813,0,0.108018182218075,0,0.992167741060255,0,"Colpomenia","peregrine","C","C. peregrine","MST","Phaeophyceae","Ochrophyta","MST2021005","2021-06-01",93220011,"55.713","12.04","ROS60_322RoskildeFjord",55.713,12.04,"MST2021-005","12","Modtaget uge 22, 10.06.2021. Hakka","11.7","2022-jan-11","MST-SX24",NA,"400","24_12","2021-06-01",NA,"MST2021005","MST2021005::2021-06-01"
"12","Colper","MST2021-005","MST2021005","Colpomenia","peregrine","Phaeophyceae","Ochrophyta","C. peregrine",93220011,12.04,55.713,"ROS60_322RoskildeFjord","2021-06-01","mcp","ddPCR",0.398600921034813,1,6,2021,"2nd_season","ddPCR : 2nd_season",0.145693809904653,4,12.12,55.793,"Colper","MST2021005_2021-06-01","MST2021005","EmilGuddalLarsen","Mergus","Sjaelland","2021-06-01","ROS60_322RoskildeFjord",93220011,"55.713","12.04","48","1","1600","nej",NA,"2021-06-10","17.1",NA,"MST2021005","MST2021-005",1.05264455080033,30,0,3,0.398600921034813,0,0.108018182218075,0,0.992167741060255,0,"Colpomenia","peregrine","C","C. peregrine","MST","Phaeophyceae","Ochrophyta","MST2021005","2021-06-01",93220011,"55.713","12.04","ROS60_322RoskildeFjord",55.713,12.04,"MST2021-005","9",NA,"1.38","'2023-jan24","MST-SX26",NA,"400","26_09","2022-04-19",NA,"MST2021005","MST2021005::2022-04-19"
"13","Colper","MST2021-062","MST2021062","Colpomenia","peregrine","Phaeophyceae","Ochrophyta","C. peregrine",95600002,10.1654166666667,54.9975833333333,"95600002_FYN6300043","2021-05-21","mcp","ddPCR",0.425071567296982,21,5,2021,"2nd_season","ddPCR : 2nd_season",0.153836675222913,4,10.2454166666667,55.0775833333333,"Colper","MST2021062_2021-05-21","MST2021062","janeRobertsen","Frigg","MSTFYN","2021-05-21","95600002_FYN6300043",95600002,"54.9975833333333","10.1654166666667","361","1","1400","ja","12","2021-05-21","112.2",NA,"MST2021062","MST2021-062",1.05264455080033,30,0,3,0.425071567296982,0,0.115191359072924,0,1.05806007981301,0,"Colpomenia","peregrine","C","C. peregrine","MST","Phaeophyceae","Ochrophyta","MST2021062","2021-05-21",95600002,"54.9975833333333","10.1654166666667","95600002_FYN6300043",54.9975833333333,10.1654166666667,"MST2021-062","10",NA,"19","2022-feb-01","MST-SX25",NA,"400","25_10","2021-05-21",NA,"MST2021062","MST2021062::2021-05-21"
"14","Colper","MST2021-071","MST2021071","Colpomenia","peregrine","Phaeophyceae","Ochrophyta","C. peregrine",94230001,10.5169333333333,55.4678333333333,"FYN6900017","2021-10-13","mcp","ddPCR",0.419194921851158,13,10,2021,"1st_season","ddPCR : 1st_season",0.152042048502331,4,10.5969333333333,55.5478333333333,"Colper","MST2021071_2021-10-13","MST2021071","FlemmingNoergaard&PauliJoergensen","Belone","Fyn","2021-10-13","FYN6900017",94230001,"55.4678333333333","10.5169333333333","98","1","1500","nej",NA,"2021-10-21","11.4",NA,"MST2021071","MST2021-071",1.05264455080033,30,0,3,0.419194921851158,0,0.113598871976137,0,1.04343153536319,0,"Colpomenia","peregrine","C","C. peregrine","MST","Phaeophyceae","Ochrophyta","MST2021071","2021-10-13",94230001,"55.4678333333333","10.5169333333333","FYN6900017",55.4678333333333,10.5169333333333,"MST2021-071","4","21-10","6.5","2022-jan-11","MST-SX24",NA,"400","24_04","2021-10-13",NA,"MST2021071","MST2021071::2021-10-13"
"15","Corcas","MST2021-011","MST2021011","Cordylophora","caspia","Hydrozoa","Cnidaria","C. caspia",98210012,11.0846527777778,54.73475,"0401011FemerenBaeltVest","2021-08-31","mcp","ddPCR",0.372501201927662,31,8,2021,"1st_season","ddPCR : 1st_season",0.137512733442947,5,11.3246527777778,54.57475,"Corcas","MST2021011_2021-08-31","MST2021011","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",98210012,"54.73475","11.0846527777778","51","4.1e+16","1500","nej","_","2021-08-03","170.9",NA,"MST2021011","MST2021-011",0.360338948667049,3,3,3,0.372501201927662,0,0.100945504382252,0,0.92719927430153,0,"Cordylophora","caspia","C","C. caspia","MST","Hydrozoa","Cnidaria","MST2021011","2021-08-31",98210012,"54.73475","11.0846527777778","0401011FemerenBaeltVest",54.73475,11.0846527777778,"MST2021-011","5","STO0401011, Ålegræs, 31.08.2021","4.23","2021-dec-08","MST-SX22",NA,"400","22_05","2021-08-31",NA,"MST2021011","MST2021011::2021-08-31"
"16","Corcas","MST2021-011","MST2021011","Cordylophora","caspia","Hydrozoa","Cnidaria","C. caspia",98210012,11.0846527777778,54.73475,"0401011FemerenBaeltVest","2021-08-31","mcp","ddPCR",0.372501201927662,31,8,2021,"1st_season","ddPCR : 1st_season",0.137512733442947,5,11.3246527777778,54.57475,"Corcas","MST2021011_2021-08-31","MST2021011","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",98210012,"54.73475","11.0846527777778","51","4.1e+16","1500","nej","_","2021-08-03","170.9",NA,"MST2021011","MST2021-011",0.360338948667049,3,3,3,0.372501201927662,0,0.100945504382252,0,0.92719927430153,0,"Cordylophora","caspia","C","C. caspia","MST","Hydrozoa","Cnidaria","MST2021011","2021-08-31",98210012,"54.73475","11.0846527777778","0401011FemerenBaeltVest",54.73475,11.0846527777778,"MST2021-011","19",NA,"2.12","'2023-jan24","MST-SX26",NA,"400","26_19","2022-04-28",NA,"MST2021011","MST2021011::2022-04-28"
"17","Maggig","MST1038","MST1038","Magallana","gigas","Bivalvia","Mollusca","M. gigas",95220322,11.5002361111111,55.1395,"BFKarrebaeksmindeBugt","2021-04-14","mcp","ddPCR",0.363321267068386,14,4,2021,"2nd_season","ddPCR : 2nd_season",0.134598209520828,6,11.1002361111111,55.0595,"Maggig","MST1038_2021-04-14","MST1038","Alkri","DAPHNE","MST_STORSTRoeM","2021-04-14","BFKarrebaeksmindeBugt",95220322,"55.1395","11.5002361111111","121","111","1700","ja","3","2021-04-16","60.3",NA,"MST1038","MST1038",5.31343579292295,3,0,0.3,0.363321267068386,0,0.0984578393399715,0,0.90434819459915,0,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST1038","2021-04-14",95220322,"55.1395","11.5002361111111","BFKarrebaeksmindeBugt",55.1395,11.5002361111111,"MST1038","9",NA,"2.61","2022-jan-06","MST-SX23",NA,"400","23_09","2021-04-14",NA,"MST1038","MST1038::2021-04-14"
"18","Maggig","MST2021-011","MST2021011","Magallana","gigas","Bivalvia","Mollusca","M. gigas",98210012,11.0846527777778,54.73475,"0401011FemerenBaeltVest","2021-08-31","mcp","ddPCR",0.407153666019439,31,8,2021,"1st_season","ddPCR : 1st_season",0.148341526475434,6,10.6846527777778,54.65475,"Maggig","MST2021011_2021-08-31","MST2021011","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",98210012,"54.73475","11.0846527777778","51","4.1e+16","1500","nej","_","2021-08-03","170.9",NA,"MST2021011","MST2021-011",5.31343579292295,3,0,0.3,0.407153666019439,0,0.110335862264037,0,1.01345777511597,0,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST2021011","2021-08-31",98210012,"54.73475","11.0846527777778","0401011FemerenBaeltVest",54.73475,11.0846527777778,"MST2021-011","5","STO0401011, Ålegræs, 31.08.2021","4.23","2021-dec-08","MST-SX22",NA,"400","22_05","2021-08-31",NA,"MST2021011","MST2021011::2021-08-31"
"19","Maggig","MST2021-011","MST2021011","Magallana","gigas","Bivalvia","Mollusca","M. gigas",98210012,11.0846527777778,54.73475,"0401011FemerenBaeltVest","2021-08-31","mcp","ddPCR",0.407153666019439,31,8,2021,"1st_season","ddPCR : 1st_season",0.148341526475434,6,10.6846527777778,54.65475,"Maggig","MST2021011_2021-08-31","MST2021011","NicolaiEspenhainAnker","ABRA","MSTSTO","2021-08-31","0401011FemerenBaeltVest",98210012,"54.73475","11.0846527777778","51","4.1e+16","1500","nej","_","2021-08-03","170.9",NA,"MST2021011","MST2021-011",5.31343579292295,3,0,0.3,0.407153666019439,0,0.110335862264037,0,1.01345777511597,0,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST2021011","2021-08-31",98210012,"54.73475","11.0846527777778","0401011FemerenBaeltVest",54.73475,11.0846527777778,"MST2021-011","19",NA,"2.12","'2023-jan24","MST-SX26",NA,"400","26_19","2022-04-28",NA,"MST2021011","MST2021011::2022-04-28"
"20","Maggig","MST2021-049","MST2021049","Magallana","gigas","Bivalvia","Mollusca","M. gigas",91650035,8.56828611111111,55.0938666666667,"ListerDyb","2021-05-21","mcp","ddPCR",1.32687151432037,21,5,2021,"2nd_season","ddPCR : 2nd_season",0.36677240298495,6,8.16828611111111,55.0138666666667,"Maggig","MST2021049_2021-05-21","MST2021049","LasseoerstedJensen","Fucus","Sydjylland","2021-05-21","ListerDyb",91650035,"55.0938666666667","8.56828611111111","11","10","500","nej",NA,"2021-05-21","11","LISD0027","MST2021049","MST2021-049",5.31343579292295,3,0,0.3,1.32687151432037,1.2661,0.761919394135475,0.832728761914222,2.11948812007904,1.69947123808578,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST2021049","2021-05-21",91650035,"55.0938666666667","8.56828611111111","ListerDyb",55.0938666666667,8.56828611111111,"MST2021-049","10","LISD0027; 21-5-21","7.75","2022-jan-06","MST-SX23",NA,"400","23_10","2021-05-21",NA,"MST2021049","MST2021049::2021-05-21"
"21","Maggig","MST2021-049","MST2021049","Magallana","gigas","Bivalvia","Mollusca","M. gigas",91650035,8.56828611111111,55.0938666666667,"ListerDyb","2021-05-21","mcp","qPCR",1.2661,21,5,2021,"2nd_season","qPCR : 2nd_season",0.355279070792133,6,8.16828611111111,55.0138666666667,"Maggig","MST2021049_2021-05-21","MST2021049","LasseoerstedJensen","Fucus","Sydjylland","2021-05-21","ListerDyb",91650035,"55.0938666666667","8.56828611111111","11","10","500","nej",NA,"2021-05-21","11","LISD0027","MST2021049","MST2021-049",5.31343579292295,3,0,0.3,1.32687151432037,1.2661,0.761919394135475,0.832728761914222,2.11948812007904,1.69947123808578,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST2021049","2021-05-21",91650035,"55.0938666666667","8.56828611111111","ListerDyb",55.0938666666667,8.56828611111111,"MST2021-049","10","LISD0027; 21-5-21","7.75","2022-jan-06","MST-SX23",NA,"400","23_10","2021-05-21",NA,"MST2021049","MST2021049::2021-05-21"
"22","Maggig","MST2021-085","MST2021085","Magallana","gigas","Bivalvia","Mollusca","M. gigas",93000001,11.1501055555556,56.1305,"93000001","2021-09-16","mcp","ddPCR",0.362626910209656,16,9,2021,"1st_season","ddPCR : 1st_season",0.134376961471248,6,10.7501055555556,56.0505,"Maggig","MST2021085_2021-09-16","MST2021085","krmsk","sif","SJL","2021-09-16","93000001",93000001,"56.1305","11.1501055555556","439","1","1700","ja","8.8E+016","2021-09-22","173.2",NA,"MST2021085","MST2021-085",5.31343579292295,3,0,0.3,0.362626910209656,0,0.0982696935534475,0,0.90261995792389,0,"Magallana","gigas","M","M. gigas","MST","Bivalvia","Mollusca","MST2021085","2021-09-16",93000001,"56.1305","11.1501055555556","93000001",56.1305,11.1501055555556,"MST2021-085","24","Fytoplankton, 16.09.21, 93000001","3.26","2021-nov-24","MST-SX21",NA,"400","21_24","2021-09-16",NA,"MST2021085","MST2021085::2021-09-16"
"23","Erisin","MST1022","MST1022","Eriocheir","sinensis","Malacostraca","Arthropoda","E. sinensis",94400007,10.3170055555556,56.1547333333333,"ARH1700006_94400007","2021-05-17","mcp","ddPCR",0.336547903716564,17,5,2021,"2nd_season","ddPCR : 2nd_season",0.125984529083528,7,10.0770055555556,56.1547333333333,"Erisin","MST1022_2021-05-17","MST1022","janeRobertsen","Frigg","MSTOJL","2021-05-17","ARH1700006_94400007",94400007,"56.1547333333333","10.3170055555556","162","1","1100","ja","9","2021-05-20","10.9",NA,"MST1022","MST1022",1.68553620576858,30,30,30,0.336547903716564,0,0.091202585026622,0,0.83770349621773,0,"Eriocheir","sinensis","E","E. sinensis","MST","Malacostraca","Arthropoda","MST1022","2021-05-17",94400007,"56.1547333333333","10.3170055555556","ARH1700006_94400007",56.1547333333333,10.3170055555556,"MST1022","2","Jarob 94400007, 17-05-2021, 1.0 m, ARH170006, FYTO Forår, ARK170006","0.428","2021-dec-08","MST-SX22",NA,"400","22_02","2021-05-17",NA,"MST1022","MST1022::2021-05-17"
"24","Erisin","MST1024","MST1024","Eriocheir","sinensis","Malacostraca","Arthropoda","E. sinensis",93770056,8.400225,56.6008333333333,"NissumBredning","2021-04-15","mcp","ddPCR",0.361712723970413,15,4,2021,"2nd_season","ddPCR : 2nd_season",0.134085495569525,7,8.160225,56.6008333333333,"Erisin","MST1024_2021-04-15","MST1024","JOCTH","Musling","MSTMJL","2021-04-15","NissumBredning",93770056,"56.6008333333333","8.400225","6","5","1500","nej",NA,"2021-04-19","69",NA,"MST1024","MST1024",1.68553620576858,30,30,30,0.361712723970413,0,0.0980219431221485,0,0.90034417808056,0,"Eriocheir","sinensis","E","E. sinensis","MST","Malacostraca","Arthropoda","MST1024","2021-04-15",93770056,"56.6008333333333","8.400225","NissumBredning",56.6008333333333,8.400225,"MST1024","14",NA,"1","2022-jan-06","MST-SX23",NA,"400","23_14","2021-04-15",NA,"MST1024","MST1024::2021-04-15"
